LocalAuthorityName	SiteCode	SiteName	SiteType	DateClosed	DateOpened	Latitude	Longitude
Croydon	CR7	Croydon - Purley Way A23	Roadside		2012-01-19 00:00:00	51.3622305655403	-0.117604507351392
Croydon	CR3	Croydon - Thornton Heath	Suburban	2013-02-08 00:00:00	1997-06-13 02:30:00	51.40401	-0.098814
Croydon	CY1	Crystal Palace - Crystal Palace Parade	Roadside	2010-07-29 00:00:00	1999-09-29 23:00:00	51.424812	-0.075449
Ealing	EA2	Ealing - Acton Town Hall	Roadside	2012-01-17 00:00:00	1996-09-09 15:00:00	51.506628	-0.267934
Ealing	EG1	Ealing - Acton Town Hall (Partisol)	Roadside	2006-10-04 00:00:00	2005-09-01 00:00:00	51.5065947337762	-0.267964378025953
Ealing	EA0	Ealing - Acton Town Hall FDMS	Roadside	2011-12-29 00:00:00	2005-04-29 09:00:00	51.506628	-0.267934
Ealing	EI3	Ealing - Acton Vale 	Urban Background		2017-11-23 00:00:00	51.5038527919816	-0.254668101620372
Ealing	EA9	Ealing - Court Way	Roadside	2006-06-01 00:00:00	2005-04-19 01:00:00	51.5225651213491	-0.264922414775277
Ealing	EA1	Ealing - Ealing Town Hall	Urban Background	2012-01-10 00:00:00	1995-03-14 00:00:00	51.5133230466548	-0.307529015473585
Ealing	EI0	Ealing - Greenford	Urban Background	2009-04-15 00:00:00	2008-03-25 00:00:00	51.5439296252862	-0.352801776049933
Ealing	EA6	Ealing - Hanger Lane Gyratory	Roadside		2003-08-04 00:00:00	51.53085	-0.292488
Ealing	EA8	Ealing - Horn Lane	Industrial		2005-02-25 00:00:00	51.518948	-0.265617
Ealing	EI8	Ealing - Horn Lane TEOM	Industrial		2005-02-25 00:00:00	51.5189160348806	-0.265652052386222
Ealing	EA7	Ealing - Southall	Urban Background	2016-01-26 00:00:00	2004-07-13 11:00:00	51.508549	-0.392179
Ealing	EI7	Ealing - Southall FDMS	Urban Background	2016-01-26 00:00:00	2011-12-28 11:00:00	51.5085164816243	-0.392208459173292
Ealing	EI2	Ealing - Southall Railway	Roadside	2014-01-06 00:00:00	2011-04-08 00:00:00	51.5058699783726	-0.380241031512669
Ealing	EI1	Ealing - Western Avenue	Roadside		2010-03-19 00:00:00	51.5236078191481	-0.265502631799754
Enfield	EN5	Enfield - Bowes Primary School	Roadside		2004-07-01 00:00:00	51.613865	-0.125338
Enfield	EN1	Enfield - Bush Hill Park	Suburban		1995-06-29 08:00:00	51.6450367266602	-0.0661800662229116
Enfield	EN2	Enfield - Church Street	Roadside	2006-09-14 00:00:00	1997-12-21 16:00:00	51.6524364979749	-0.084224624306898
Enfield	EN4	Enfield - Derby Road	Roadside		2000-02-29 09:15:00	51.614864007	-0.0507658363689
Enfield	EN7	Enfield - Prince of Wales School	Urban Background		2012-07-09 00:00:00	51.66864334727	-0.02200720557
Enfield	EN3	Enfield - Salisbury School	Urban Background	2008-07-28 00:00:00	1998-11-03 10:00:00	51.6374794858769	-0.0442461406121593
Greenwich	GN0	Greenwich - A206 Burrage Grove	Roadside		2004-10-07 00:00:00	51.490532	0.074003
Greenwich	GR7	Greenwich - Blackheath	Roadside		2002-03-08 11:00:00	51.472504	-0.012381
